id,ratedFloodZone,elevationDifference,postFIRMConstructionIndicator,primaryResidenceIndicator,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim
7889d4a1-b205-426e-8783-2612f7178a16,A,,0,0,0.00,125000.00,0.00
5c7610d2-3966-4a26-87f3-31cfaf139ce8,C,,0,0,,,
f5ed6fb1-b182-433c-a66b-e0f2b48a8383,A,,0,0,,,
d3fbaab5-acb1-43ae-a308-9a881b555b83,AE,,1,1,11655.44,2191.05,0.00
9aa504d1-643f-4c00-9cbd-a676157d8dbd,C,,1,1,2033.28,0.00,0.00
4afa1187-fe05-4f7f-bf32-4790d8cd20af,AE,-5.0,0,1,5801.31,0.00,0.00
d3872750-9710-445e-a12e-dbaa434ccde7,X,,1,1,,,
5af98b3f-f01e-4ad0-ba93-e25e3a1f59f3,AE,,0,0,,,
40a52855-079d-4a43-9b0d-be2a97b89c4e,C,,0,0,1705.95,0.00,0.00
f4a77c95-c9f6-4cfe-81be-6736827b4e2a,C,,0,0,925.07,0.00,0.00
a8397769-1ae4-4b24-b45b-2e1f126150ac,A02,,0,0,7773.12,3249.00,0.00
3e7abf2e-6836-41e1-8d71-a641aee4c45e,AE,2.0,1,0,,,
0c5800e0-0982-43d5-8ef5-fc5d8ccfb97a,AE,,0,0,34502.13,8381.26,0.00
908ff428-9f8d-474f-8592-2e5a842bcc38,X,,1,1,31163.70,0.00,0.00
56b5f1ad-7f85-4255-bf4d-ff13545fb739,X,,0,1,18365.03,7068.58,0.00
57a0fa1d-d188-4297-8a2e-27553e8ba577,X,,0,1,,,
bc771c73-5cd7-4e81-867c-5abfc545cf85,X,,1,1,116.83,1736.54,0.00
1be7a73a-c9b3-408c-9f85-7a9f7464809f,AE,,0,1,29543.68,0.00,0.00
5b1fa007-095d-43c7-860c-aa7d161d1e8b,AE,1.0,0,1,13640.84,10000.00,0.00
84ef0fd2-0f7b-40c3-8f49-6a6c995cb5a8,A,0.0,1,1,,,
50829756-c779-45f8-bc78-fc9b0f629603,AE,,0,1,24541.53,13350.00,0.00
0d786b08-4a7f-4433-baf4-cb071cde946c,VE,,0,0,3703.69,27.22,0.00
7f219490-7d13-4c51-b545-ead96271c47a,X,,0,0,19421.26,0.00,0.00
3c6abe02-7492-422e-a4e4-b3852e62801c,AE,2.0,0,1,,,
0b55668a-3688-40ad-b993-f5661cda1c79,A11,2.0,1,1,98400.00,45000.00,0.00
6a7519b7-eac8-4c17-891c-77d353fcb27d,A08,,0,0,12927.41,380.00,0.00
64b6c5f0-a6fb-47d6-96b3-16739c6946c3,AE,-2.0,0,1,117126.19,14829.90,0.00
487317a2-79c2-4488-9b3f-418821e9efa1,,,0,0,3175.22,0.00,0.00
25caf6fa-2245-4543-83a0-50883eeec89f,AE,,0,1,,,
3b306c25-f537-4f28-aa87-b893ed81cfdb,C,,0,1,125000.00,27170.56,9300.00
e35d08d0-6793-4baf-b7c2-118c72660c75,AE,,0,0,0.00,4338.00,0.00
248ce684-622f-4011-869d-db759e3a221f,AE,,0,1,10366.01,2014.44,0.00
2b7bca48-3c59-4af5-bd62-3be6e6b035ca,AE,,0,0,1022.48,639.60,0.00
58d8398d-75cf-4b7a-9efe-180ca5429662,C,,0,0,,,
62ff5b1d-6d47-4eb1-ae19-96566be37ca4,AE,,0,0,25407.69,0.00,0.00
5bc0a6d3-ef37-4e2d-8f0d-29f31f640b3f,V20,,0,0,,,
a03cfe90-9298-4534-b29e-85d79fbfccd0,AE,1.0,1,1,4365.94,0.00,0.00
4ca018f4-ab9f-4ea3-b784-36bb02f28ab6,AE,,0,0,16000.00,0.00,0.00
5bb49efb-2551-48cd-9391-adaf085bc6e8,C,,0,0,1022.00,0.00,0.00
e0dfdf93-1aff-4cc9-9c4c-b5707b9dbf4b,C,,0,0,8493.17,4735.71,0.00
12977add-2d43-4ea7-8e68-eaf87d3c07c1,X,,0,0,12041.09,0.00,0.00
1a690966-6c1a-4d81-8a2c-3439c757d50b,X,,1,0,15597.64,0.00,0.00
ca028184-4bb2-463e-a029-d8e58146bffe,X,,1,0,25686.14,0.00,0.00
ac6d02e0-78f8-4368-86ac-1b0b853a2788,AE,,0,1,63279.09,0.00,0.00
2c3a5ce8-dfcf-4330-a3ab-954b6cecea67,A,10.0,1,1,13280.03,0.00,0.00
432fe1cb-107d-4460-b3ff-d9c608cc97d0,B,,1,1,51155.49,28844.57,0.00
21f4222d-3ca7-491d-93ec-c9432702fd63,AHB,1.0,0,1,,,
a298b060-207f-4d6c-9c09-cb28fe957098,AHB,1.0,0,1,,,
4a05f637-4fc9-4877-a9ca-34d2df8449ad,A08,1.0,0,1,14516.94,0.00,0.00
c9983f1b-5098-462f-b29e-d86d4b67ec8e,AE,5.0,1,1,37787.27,39495.59,0.00
48cbf9a9-d94d-4f3f-93b8-0b2ae8e7dd2c,X,,1,1,,,
458b0e61-f202-4cd1-b287-e3f80aa60c77,X,,0,1,,,
bd041229-6039-4536-9760-7fdecff06787,AE,,0,1,11799.27,0.00,0.00
6fb1bb93-4628-49f2-98d7-929351c15245,A13,3.0,1,0,,,
d3b98d50-ee6d-409b-8714-45321c4874af,AE,-1.0,1,0,166970.98,60000.00,0.00
60b54658-cd6b-451b-8e37-40891061342a,A06,,0,1,893.42,0.00,0.00
f145cc80-9300-4848-9fbb-7c471c066f27,A01,1.0,1,1,131000.00,64500.00,0.00
e4cfadb1-d74d-4a6b-8c01-42df0fbb3f93,C,,0,0,,,
1c341d5e-775c-4e1d-a9fe-af30b324e7d4,AE,,0,0,,,
febbc84d-e6de-4efd-917d-6bc6b5c15848,AE,-5.0,1,1,250000.00,14800.00,0.00
470c25f5-37a8-4c31-8ab7-fa0a157c63c8,A,3.0,1,1,79429.59,0.00,0.00
7bf33356-488b-44de-819f-fe1856322148,AE,,0,0,40000.00,0.00,0.00
17794054-4962-43a4-bf5a-76cee0e2db9c,A,,0,0,44269.23,0.00,0.00
