path,horizon,state,n_claims,total_loss
15,3,0,1,7548.284820664283
15,4,0,2,55421.864541617404
15,5,0,2,64402.449542641414
15,6,0,4,28075.67646286322
15,7,0,2,3277.6585728198843
15,8,0,3,35638.12074516229
16,1,0,2,99521.51980838284
16,2,0,2,32817.738612890695
16,3,0,2,5794.064212037073
16,4,0,1,88597.83808722835
16,5,0,4,47248.300512900554
16,6,0,4,15514.902045853178
16,7,0,4,74978.8483108996
16,8,0,2,16300.837681376765
17,1,1,24,571055.7770511189
17,2,0,4,120194.72238268706
17,3,0,4,176483.0982927573
17,4,0,2,66872.27958966256
17,5,1,25,578012.7405705139
17,6,0,3,58658.11249447783
17,7,0,1,2323.7350946581905
17,8,0,4,49078.913637304715
18,1,0,2,15928.946497716115
18,2,0,5,51552.63736315467
18,3,0,2,7466.747792428863
18,4,0,2,38460.92241404535
18,5,0,3,136080.5716711123
18,6,0,2,198854.67354784496
18,7,0,1,7625.725685801542
18,8,0,2,689.0616065435183
19,1,0,1,9306.211820118391
19,2,0,4,115835.81165737369
19,3,0,2,20197.759636038023
19,4,1,32,788402.895049673
19,5,0,2,15290.560697467194
19,6,0,2,23428.372365147054
19,7,1,26,949044.3139925342
19,8,0,3,63605.43893901148
20,1,0,3,96133.18090744223
20,2,0,5,48560.76316924121
20,3,1,27,598569.1833926126
20,4,0,4,32057.27438153672
20,5,0,4,27579.429222708735
20,6,0,1,15897.649784180774
20,7,1,28,885492.9778398287
20,8,0,3,27926.125575016882
21,1,0,3,53532.4161894129
21,2,0,2,11415.666102773695
21,3,0,6,104162.35652277226
21,4,0,4,19805.27448468243
21,5,0,6,57030.642213833155
21,6,0,6,32155.871087437947
21,7,0,2,21901.904971642718
21,8,0,0,0.0
22,1,0,4,87108.79208105439
22,2,0,1,10137.705810859079
22,3,0,6,34870.74592237355
22,4,0,1,8701.457349409475
22,5,0,3,33065.92897121926
22,6,0,1,132826.20599199523
22,7,1,25,555427.8433559157
22,8,0,2,8737.278394496547
23,1,1,36,1171792.450571599
23,2,0,2,2824.7128305562837
23,3,0,6,64562.580128473135
23,4,1,21,540785.812694773
23,5,0,7,79418.85500874826
23,6,0,2,9762.295817291713
23,7,0,1,16024.059607786272
23,8,0,2,6927.79646848644
24,1,0,2,2850.7873893496394
24,2,0,3,18110.602933748636
24,3,0,1,10122.301547932479
24,4,0,1,4926.962154112224
24,5,0,1,11656.484626995383
24,6,0,2,47998.284012298565
24,7,0,1,14022.149340298933
24,8,0,1,214.65721208336706
25,1,0,7,349301.01093300147
25,2,0,3,11652.140023819335
25,3,0,4,85334.98923466261
25,4,0,3,10706.807395836226
25,5,0,1,4311.4897595737575
25,6,0,1,7490.44540129629
25,7,0,0,0.0
25,8,0,2,2749.0290944116937
26,1,0,3,201987.0609415497
26,2,1,20,478440.1408553941
26,3,0,3,11996.553793052313
26,4,0,2,21433.794871191516
26,5,1,21,663096.6524379561
26,6,0,2,2921.740151633975
26,7,0,2,8658.414558972567
26,8,0,0,0.0
27,1,1,23,446042.5885774363
27,2,1,34,748772.3790176248
27,3,0,3,25176.74163455314
27,4,0,0,0.0
27,5,0,2,47494.23793439499
27,6,0,1,583.3506913284366
27,7,0,2,9927.698109657593
27,8,0,2,30197.046283696363
28,1,0,2,45523.14249903665
28,2,0,1,3514.9181295572034
28,3,1,32,746768.3837901675
28,4,1,21,493777.8315853654
28,5,0,7,124708.80492373329
28,6,1,27,670939.9609482186
28,7,1,29,935235.0422884515
28,8,0,7,119812.1865369756
29,1,0,3,44220.430006867224
29,2,0,2,120195.53822424257
29,3,0,1,9310.84820158021
29,4,0,2,23675.631550910155
29,5,0,3,215581.77275992895
29,6,0,1,291.9906829746573
29,7,0,1,2075.377960092025
29,8,0,2,4987.451723966455
30,1,0,5,28885.458270940846
30,2,1,37,925934.9309364068
30,3,0,2,6905.589752125825
30,4,0,3,8600.084733942309
30,5,0,6,35690.583865615146
30,6,0,4,32167.69408014098
30,7,0,2,13466.826675777513
30,8,0,0,0.0
31,1,0,3,28990.50170262034
31,2,0,1,5202.584894075308
31,3,0,1,1022.3061371936807
31,4,0,0,0.0
31,5,0,5,76910.14264091315
31,6,0,2,5313.91990946345
31,7,0,6,55624.464016014885
31,8,0,3,22213.38806206875
32,1,0,3,48652.98321892764
32,2,0,1,6473.0380587195405
32,3,0,3,31039.828052762125
32,4,0,2,54397.03675577251
32,5,0,2,43132.91274198563
32,6,0,4,14436.157127466606
32,7,0,1,5836.966849675456
32,8,0,1,2044.2658961937511
33,1,0,3,7863.174070381534
33,2,0,2,55238.104430860374
33,3,1,35,888956.2462988521
33,4,0,1,22038.219553961193
33,5,0,3,62435.25643904193
33,6,1,26,818358.373466035
33,7,1,30,973433.8131599098
33,8,0,2,12233.385917537547
34,1,0,2,10317.045544465673
34,2,0,0,0.0
34,3,0,4,17798.76990725111
34,4,0,1,6107.039765810145
34,5,0,3,106917.11872083653
34,6,0,2,40110.50223096676
34,7,0,0,0.0
34,8,0,3,60050.49026353891
35,1,0,1,1813.5451067663075
35,2,0,1,19360.163981096317
35,3,0,3,150460.95351761678
35,4,0,5,92354.0576416402
35,5,1,31,1099713.117444438
35,6,1,27,507813.3529586318
35,7,0,2,23801.08983024937
35,8,0,4,27804.51891149342
36,1,0,3,31870.23096580399
36,2,1,34,1443521.6422834878
36,3,0,4,80188.12461119678
36,4,0,4,51192.616302524795
36,5,0,2,12092.669700505063
36,6,0,2,147997.44464600968
36,7,0,3,30756.945733939465
36,8,0,4,35072.31023534331
37,1,0,2,33278.616998055666
37,2,0,4,101237.59279322422
37,3,1,26,748016.6114855524
37,4,0,2,5526.1225139648595
37,5,0,3,2897.140312738697
37,6,0,3,79034.74260360163
37,7,1,25,631714.3314624795
37,8,0,3,239128.04693204025
38,1,0,3,12300.282183556044
38,2,0,2,22874.750517719327
38,3,0,2,26316.896370357084
38,4,1,33,1127078.637987229
38,5,0,3,24475.32881201545
38,6,0,4,300993.9879836874
38,7,0,1,1507.5793663242764
38,8,0,1,61646.693918119214
39,1,0,3,40804.71361856273
39,2,0,4,352426.9543265296
39,3,0,2,4972.431449404895
39,4,0,4,178254.9552481849
39,5,0,1,21913.721791404194
39,6,0,1,51218.98778335722
39,7,0,2,15892.193119338865
39,8,1,32,873012.3609803107
40,1,0,1,4469.469251313076
40,2,0,1,27989.9550326884
40,3,0,2,19398.05616123491
40,4,0,4,54516.963456673126
40,5,0,3,43848.161535299994
40,6,0,3,44719.99169965687
40,7,0,2,80683.45348233108
40,8,0,2,17591.948604409674
41,1,0,1,8584.14461247368
41,2,0,3,92491.62539704103
41,3,0,5,71647.88459546043
41,4,0,4,35767.82996151323
41,5,1,33,847586.8844295524
41,6,0,0,0.0
41,7,0,2,69881.17307176763
41,8,0,7,60351.632180347544
42,1,0,3,39492.31323388366
42,2,0,5,43059.3470415508
42,3,0,4,11383.299661273784
42,4,0,2,47172.097182057114
42,5,0,2,17158.955937466155
42,6,0,3,24497.25691332362
42,7,0,2,43431.95786949301
42,8,0,5,133640.8456054214
43,1,0,2,24794.89322124317
43,2,0,3,54067.01291284208
43,3,0,2,4284.541490909114
43,4,0,1,1036.2471711970763
43,5,0,2,30719.60761561202
43,6,0,1,30154.1538928614
43,7,0,4,22625.43170455208
43,8,0,4,129612.16182981292
44,1,0,3,41727.980707104834
44,2,0,2,35011.66283687793
44,3,0,1,50637.11966273034
44,4,0,5,12076.87536293184
44,5,0,0,0.0
44,6,0,1,4316.811688363277
44,7,0,1,6061.32188896672
44,8,1,25,513144.1326344299
45,1,0,2,47908.33213642715
45,2,0,0,0.0
45,3,0,3,37666.30028113333
