path,horizon,state,n_claims,total_loss
23,1,0,2,59440.4345392432
23,2,0,3,36157.697641805076
23,3,0,3,4744.856474924699
23,4,0,3,161968.64211918917
23,5,0,3,10464.911006354254
23,6,0,3,22537.414242169205
23,7,0,5,142655.6073336283
23,8,0,2,194015.56102097133
24,1,0,0,0.0
24,2,0,3,125510.8294328412
24,3,0,4,37448.080293024774
24,4,0,3,35969.73176098626
24,5,1,40,676611.1040090688
24,6,0,5,19478.5982335177
24,7,0,2,14355.085940848596
24,8,0,0,0.0
25,1,0,1,25995.851971079257
25,2,0,4,99478.69417158846
25,3,0,4,17786.12894950253
25,4,0,4,12210.489476155883
25,5,0,1,9220.748256642684
25,6,0,1,236.849998073993
25,7,0,5,102477.37494126162
25,8,0,4,131499.59852468342
26,1,0,3,2099249.747342128
26,2,0,2,216726.97862016654
26,3,1,36,535448.8715407687
26,4,0,0,0.0
26,5,0,5,164137.41658475998
26,6,0,8,374337.4554138319
26,7,1,49,1123565.3265216092
26,8,0,4,42053.736565852676
27,1,0,3,24691.13442648035
27,2,1,39,704343.6805571268
27,3,0,1,3659.1602751675864
27,4,0,3,93811.28104450722
27,5,0,2,44681.84607083174
27,6,0,1,20632.371368135864
27,7,1,42,1024922.7002004278
27,8,0,2,9069.89392021943
28,1,0,2,19008.516628583373
28,2,1,65,1420222.6699055168
28,3,0,3,113976.57884531046
28,4,0,3,34854.22597406816
28,5,0,1,4553.490766270609
28,6,0,0,0.0
28,7,0,3,17139.889815882892
28,8,0,1,6129.382931353444
29,1,0,4,128240.9050479611
29,2,0,3,43200.59339803482
29,3,0,2,5461.423636189329
29,4,0,2,18028.54961271679
29,5,0,5,63597.21206002773
29,6,0,8,137236.36854614265
29,7,0,3,34870.903326029074
29,8,0,4,37497.7249296752
30,1,0,4,37514.313701813626
30,2,0,4,427209.82910990436
30,3,0,4,38305.38690873654
30,4,0,4,110570.6398765461
30,5,0,6,152896.50711917251
30,6,1,40,715262.2528302418
30,7,0,7,113895.23157161174
30,8,0,6,66441.6019476745
31,1,0,6,45996.97647832087
31,2,0,0,0.0
31,3,0,4,78651.33783671109
31,4,0,5,12480.123175850233
31,5,0,1,11533.609774409497
31,6,0,0,0.0
31,7,0,2,124206.7256498286
31,8,0,6,103592.71978462121
32,1,0,2,60644.85468112998
32,2,0,4,26282.27376890689
32,3,0,0,0.0
32,4,0,2,56407.85733328773
32,5,0,4,53381.54869155427
32,6,0,5,139793.7702220163
32,7,0,3,192809.87464202507
32,8,0,0,0.0
33,1,0,2,17984.181561608857
33,2,0,5,154716.00566783163
33,3,0,4,12370.01219856248
33,4,0,3,3018.2690723914193
33,5,1,46,818027.926638909
33,6,0,4,18948.745061193687
33,7,0,0,0.0
33,8,0,1,865.5395414790818
34,1,1,44,735778.4135960963
34,2,0,4,40017.587874164026
34,3,0,4,75944.11445750804
34,4,0,3,55745.928337506666
34,5,0,1,43406.66513423935
34,6,0,0,0.0
34,7,0,2,17297.198031061787
34,8,1,51,863957.172815973
35,1,1,54,903508.2045639234
35,2,0,2,2480.5967144209226
35,3,0,3,63170.74935893325
35,4,0,5,98724.61135771614
35,5,0,2,10491.54238239234
35,6,1,43,811772.0365288716
35,7,0,2,54499.539749923526
35,8,0,3,4612.542763519001
36,1,0,3,54725.34727026771
36,2,0,3,11973.87820372264
36,3,0,2,2066.7127810911034
36,4,0,3,16222.756901106415
36,5,0,2,6269.570377054797
36,6,0,1,1186.7639358311744
36,7,0,3,33834.65394679999
36,8,0,3,40408.92480781832
37,1,0,3,15041.828075212637
37,2,0,4,180336.66183530923
37,3,0,2,9161.491497465482
37,4,0,6,357457.145930911
37,5,0,2,20375.57276611022
37,6,0,1,8645.106259673292
37,7,1,52,991170.6586337484
37,8,0,5,140445.24803108885
38,1,0,4,103192.50722310506
38,2,0,4,190402.39861566224
38,3,0,3,20463.783664759238
38,4,0,1,14389.786536670592
38,5,0,2,7090.788402642796
38,6,0,2,11513.140677758958
38,7,0,4,32467.100909040488
38,8,0,4,120515.29964946606
39,1,0,3,59390.43749579966
39,2,1,43,982516.0721100365
39,3,1,34,489159.06026188756
39,4,0,4,164340.39203200096
39,5,0,3,29851.113715464646
39,6,0,3,12754.41860136515
39,7,0,2,9092.036956020878
39,8,0,3,37605.27734063554
40,1,0,4,77515.64230117058
40,2,1,47,756669.490393208
40,3,0,5,184619.00047879294
40,4,0,3,195445.1794150136
40,5,0,6,71251.17674137856
40,6,0,3,25447.62503993085
40,7,1,39,608518.1171816562
40,8,0,2,38120.780331870665
41,1,0,2,9190.091397864322
41,2,0,5,30113.240674596094
41,3,0,2,6577.168253053122
41,4,0,5,317499.0824866915
41,5,0,1,20328.39359666992
41,6,0,3,98843.0543862492
41,7,0,6,58892.49204167604
41,8,0,10,174696.51690761762
42,1,0,1,190.5229607412669
42,2,0,2,27711.96367308394
42,3,0,3,32765.200609233267
42,4,0,2,9036.67249602531
42,5,0,4,38819.84236969562
42,6,0,1,334275.01170409296
42,7,0,3,165098.45399699622
42,8,1,39,573999.0202639597
43,1,0,4,148891.9904827937
43,2,0,5,15163.270024247216
43,3,0,2,7723.108573642353
43,4,0,2,55353.04512697358
43,5,0,4,28377.716423256024
43,6,1,54,905091.3066389645
43,7,0,3,31482.551214127183
43,8,0,3,84347.9721654564
44,1,0,2,19115.071430393855
44,2,0,4,77587.09949548618
44,3,0,4,16206.929895222704
44,4,0,4,26713.632393389933
44,5,0,4,135851.57803710684
44,6,0,4,66643.69980417773
44,7,0,2,2359.9936452016796
44,8,0,2,39083.74427408073
45,1,0,4,58109.23052663998
45,2,0,2,53227.37854785693
45,3,0,6,235906.55606180624
45,4,0,2,25331.45102965851
45,5,0,1,149860.06116737542
45,6,0,2,5869.115167587215
45,7,0,1,8642.521027876264
45,8,0,4,82072.42888742733
46,1,0,0,0.0
46,2,0,4,40188.61885332191
46,3,0,3,58982.80571980486
46,4,0,2,75991.66872961851
46,5,0,5,11994.505049435125
46,6,0,5,79671.5576317813
46,7,0,5,38856.864067937095
46,8,0,2,15306.276477361045
47,1,0,5,21288.715985828603
47,2,0,3,156780.85049808116
47,3,0,3,9428.060224450746
47,4,0,3,23999.133317640466
47,5,0,3,52284.48761669774
47,6,0,0,0.0
47,7,0,3,278268.8763656449
47,8,0,7,349524.60724428005
48,1,0,2,98165.09168924755
48,2,1,43,861617.1470247089
48,3,0,5,85304.37242622227
48,4,0,5,34742.8677297897
48,5,0,2,84801.45856772861
48,6,0,1,2965.4846319206445
