quarter,n_claims,avg_log_severity,policyCount,quarter_start
1978Q1,2,8.296621141133645,1.0,1978-01-01
1979Q1,1,5.675897271166665,1.0,1979-01-01
1979Q2,4,6.529489905897639,1.0,1979-04-01
1979Q3,6,7.2316947554141935,1.0,1979-07-01
1979Q4,1,8.391743340698822,1.0,1979-10-01
1980Q2,6,8.344238926782557,1.0,1980-04-01
1980Q3,1,6.698921354848035,1.0,1980-07-01
1980Q4,1,9.826746347234332,1.0,1980-10-01
1981Q2,1,7.550934602164159,1.0,1981-04-01
1981Q3,2,6.4138850958655595,1.0,1981-07-01
1982Q1,1,,1.0,1982-01-01
1982Q2,1,7.17579571117863,1.0,1982-04-01
1982Q4,1,7.6833115957828,1.0,1982-10-01
1983Q1,1,8.134989428220914,1.0,1983-01-01
1983Q2,5,7.562942346682594,1.0,1983-04-01
1983Q3,3,7.867026559108619,1.0,1983-07-01
1983Q4,2,8.825941797979718,1.0,1983-10-01
1984Q1,1,8.155362120328135,1.0,1984-01-01
1984Q2,1,8.489116709994141,1.0,1984-04-01
1985Q3,4,8.750940273200714,1.0,1985-07-01
1985Q4,3,8.592341457585853,1.0,1985-10-01
1986Q3,1,9.804817936138383,1.0,1986-07-01
1986Q4,1,,1.0,1986-10-01
1987Q1,4,6.49274971282744,1.0,1987-01-01
1987Q2,1,7.954144016146281,1.0,1987-04-01
1987Q4,1,9.354388766548645,1.0,1987-10-01
1988Q2,1,6.463965056552305,1.0,1988-04-01
1989Q2,3,8.2441504290156,1.0,1989-04-01
1989Q3,23,8.57089338204573,1.0,1989-07-01
1989Q4,2,10.041040163139048,1.0,1989-10-01
1990Q1,1,,1.0,1990-01-01
1990Q2,2,,1.0,1990-04-01
1990Q4,1,6.309918278226516,1.0,1990-10-01
1991Q1,1,9.881082932992284,1.0,1991-01-01
1991Q2,2,6.869866478439324,1.0,1991-04-01
1991Q3,1,7.4468884370434525,1.0,1991-07-01
1991Q4,4,9.287215877831601,1.0,1991-10-01
1992Q1,3,8.758985723621496,1.0,1992-01-01
1992Q2,1,10.035003853726966,1.0,1992-04-01
1992Q3,7,,1.0,1992-07-01
1992Q4,15,7.726441388660592,1.0,1992-10-01
